FIPS,GEO,County,Date,Cases,Tests,Population,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
55,State,WI,2020-03-15,32,345,5822434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55001,County,Adams,2020-03-15,0,NA,20220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55003,County,Ashland,2020-03-15,0,NA,15562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55005,County,Barron,2020-03-15,0,NA,45244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55007,County,Bayfield,2020-03-15,0,NA,15036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55009,County,Brown,2020-03-15,0,NA,264542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55011,County,Buffalo,2020-03-15,0,NA,13031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55013,County,Burnett,2020-03-15,0,NA,15414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55015,County,Calumet,2020-03-15,0,NA,50089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55017,County,Chippewa,2020-03-15,0,NA,64658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55019,County,Clark,2020-03-15,0,NA,34774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55021,County,Columbia,2020-03-15,0,NA,57532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55023,County,Crawford,2020-03-15,0,NA,16131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55025,County,Dane,2020-03-15,6,NA,546695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55027,County,Dodge,2020-03-15,0,NA,87839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55029,County,Door,2020-03-15,0,NA,27668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55031,County,Douglas,2020-03-15,0,NA,43150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55033,County,Dunn,2020-03-15,0,NA,45368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55035,County,Eau Claire,2020-03-15,0,NA,104646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55037,County,Florence,2020-03-15,0,NA,4295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55039,County,Fond du Lac,2020-03-15,11,NA,103403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55041,County,Forest,2020-03-15,0,NA,9004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55043,County,Grant,2020-03-15,0,NA,51439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55045,County,Green,2020-03-15,0,NA,36960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55047,County,Green Lake,2020-03-15,0,NA,18913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55049,County,Iowa,2020-03-15,0,NA,23678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55051,County,Iron,2020-03-15,0,NA,5687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55053,County,Jackson,2020-03-15,0,NA,20643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55055,County,Jefferson,2020-03-15,0,NA,84769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55057,County,Juneau,2020-03-15,0,NA,26687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55059,County,Kenosha,2020-03-15,0,NA,169561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55061,County,Kewaunee,2020-03-15,0,NA,20434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55063,County,La Crosse,2020-03-15,0,NA,118016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
