FIPS,GEO,County,Date,Cases,Tests,Population,pop_2018,Region,herc_region,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
55001,County,Adams,2020-03-15,0,NA,20220,20495,Southern,South Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55003,County,Ashland,2020-03-15,0,NA,15562,15863,Northern,Northwest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55005,County,Barron,2020-03-15,0,NA,45244,45880,Western,Northwest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55007,County,Bayfield,2020-03-15,0,NA,15036,15204,Northern,Northwest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55009,County,Brown,2020-03-15,0,NA,264542,260329,Northeastern,Northeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55011,County,Buffalo,2020-03-15,0,NA,13031,13509,Western,Western,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55013,County,Burnett,2020-03-15,0,NA,15414,15447,Western,Northwest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55015,County,Calumet,2020-03-15,0,NA,50089,51476,Northeastern,Fox Valley Area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55017,County,Chippewa,2020-03-15,0,NA,64658,64220,Western,Northwest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55019,County,Clark,2020-03-15,0,NA,34774,34741,Western,North Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55021,County,Columbia,2020-03-15,0,NA,57532,57128,Southern,South Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55023,County,Crawford,2020-03-15,0,NA,16131,16555,Southern,Western,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55025,County,Dane,2020-03-15,6,NA,546695,528496,Southern,South Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55027,County,Dodge,2020-03-15,0,NA,87839,89205,Southern,South Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55029,County,Door,2020-03-15,0,NA,27668,28051,Northeastern,Northeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55031,County,Douglas,2020-03-15,0,NA,43150,43874,Western,Northwest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55033,County,Dunn,2020-03-15,0,NA,45368,44777,Western,Northwest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55035,County,Eau Claire,2020-03-15,0,NA,104646,102893,Western,Northwest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55037,County,Florence,2020-03-15,0,NA,4295,4421,Northern,Northeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55039,County,Fond du Lac,2020-03-15,11,NA,103403,103373,Northeastern,Southeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55041,County,Forest,2020-03-15,0,NA,9004,9182,Northern,North Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55043,County,Grant,2020-03-15,0,NA,51439,52374,Southern,South Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55045,County,Green,2020-03-15,0,NA,36960,36864,Southern,South Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55047,County,Green Lake,2020-03-15,0,NA,18913,19088,Northeastern,Fox Valley Area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55049,County,Iowa,2020-03-15,0,NA,23678,23799,Southern,South Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
