Region,Date,Cases,Tests,Population,County,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
Northeastern,2020-03-15,15,NA,1253904,Northeastern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northeastern,2020-03-16,18,NA,1253904,Northeastern,NA,NA,NA,NA,NA,3,NA,NA,0.00239252765761972,NA
Northeastern,2020-03-17,18,NA,1253904,Northeastern,NA,NA,NA,NA,NA,0,NA,NA,0,NA
Northeastern,2020-03-18,21,NA,1253904,Northeastern,NA,NA,NA,NA,NA,3,NA,NA,0.00239252765761972,NA
Northeastern,2020-03-19,29,NA,1253904,Northeastern,NA,NA,NA,NA,NA,8,NA,NA,0.00638007375365259,NA
Northeastern,2020-03-20,30,NA,1253904,Northeastern,NA,NA,NA,NA,NA,1,NA,NA,0.000797509219206574,NA
Northeastern,2020-03-21,32,NA,1253904,Northeastern,NA,NA,NA,NA,NA,2,NA,NA,0.00159501843841315,NA
Northeastern,2020-03-22,33,NA,1253904,Northeastern,18,NA,NA,0.00205073799224548,NA,1,NA,NA,0.000797509219206574,NA
Northeastern,2020-03-23,33,NA,1253904,Northeastern,15,NA,NA,0.00170894832687123,NA,0,NA,NA,0,NA
Northeastern,2020-03-24,34,NA,1253904,Northeastern,16,NA,NA,0.00182287821532931,NA,1,NA,NA,0.000797509219206574,NA
Northeastern,2020-03-25,37,NA,1253904,Northeastern,16,NA,NA,0.00182287821532931,NA,3,NA,NA,0.00239252765761972,NA
Northeastern,2020-03-26,39,NA,1253904,Northeastern,10,NA,NA,0.00113929888458082,NA,2,NA,NA,0.00159501843841315,NA
Northeastern,2020-03-27,43,NA,1253904,Northeastern,13,NA,NA,0.00148108854995507,NA,4,NA,NA,0.0031900368768263,NA
Northeastern,2020-03-28,48,NA,1253904,Northeastern,16,NA,NA,0.00182287821532931,NA,5,NA,NA,0.00398754609603287,NA
Northeastern,2020-03-29,51,NA,1253904,Northeastern,18,NA,NA,0.00205073799224548,NA,3,NA,NA,0.00239252765761972,NA
Northeastern,2020-03-30,60,1491,1253904,Northeastern,27,NA,NA,0.00307610698836821,NA,9,NA,NA,0.00717758297285917,NA
Northeastern,2020-03-31,72,1710,1253904,Northeastern,38,NA,NA,0.00432933576140712,NA,12,219,0.0547945205479452,0.00957011063047889,0.17465451900624
Northeastern,2020-04-01,83,1874,1253904,Northeastern,46,NA,NA,0.00524077486907177,NA,11,164,0.0670731707317073,0.00877260141127231,0.130791511949878
Northeastern,2020-04-02,105,2134,1253904,Northeastern,66,NA,NA,0.00751937263823341,NA,22,260,0.0846153846153846,0.0175452028225446,0.207352396993709
Northeastern,2020-04-03,124,2440,1253904,Northeastern,81,NA,NA,0.00922832096510464,NA,19,306,0.0620915032679739,0.0151526751649249,0.244037821077212
Northeastern,2020-04-04,137,2712,1253904,Northeastern,89,NA,NA,0.0101397600727693,NA,13,272,0.0477941176470588,0.0103676198496855,0.216922507624188
Northeastern,2020-04-05,154,2861,1253904,Northeastern,103,NA,NA,0.0117347785111824,NA,17,149,0.114093959731544,0.0135576567265118,0.11882887366178
Northeastern,2020-04-06,173,3201,1253904,Northeastern,113,1710,0.0660818713450292,0.0128740773957633,0.19482010926332,19,340,0.0558823529411765,0.0151526751649249,0.271153134530235
Northeastern,2020-04-07,192,3772,1253904,Northeastern,120,2062,0.05819592628516,0.0136715866149698,0.234923430000565,19,571,0.0332749562171629,0.0151526751649249,0.455377764166954
Northeastern,2020-04-08,205,4161,1253904,Northeastern,122,2287,0.0533449934411893,0.013899446391886,0.260557654903634,13,389,0.0334190231362468,0.0103676198496855,0.310231086271357
Northeastern,2020-04-09,215,4324,1253904,Northeastern,110,2190,0.0502283105022831,0.012532287730389,0.2495064557232,10,163,0.0613496932515337,0.00797509219206574,0.129994002730672
Northeastern,2020-04-10,229,4666,1253904,Northeastern,105,2226,0.0471698113207547,0.0119626382880986,0.253607931707691,14,342,0.0409356725146199,0.011165129068892,0.272748152968648
Northeastern,2020-04-11,236,4830,1253904,Northeastern,99,2118,0.046742209631728,0.0112790589573501,0.241303503754218,7,164,0.0426829268292683,0.00558256453444602,0.130791511949878
Northeastern,2020-04-12,251,5033,1253904,Northeastern,97,2172,0.0446593001841621,0.011051199180434,0.247455717730954,15,203,0.0738916256157636,0.0119626382880986,0.161894371498935
Northeastern,2020-04-13,268,5278,1253904,Northeastern,95,2077,0.045739046701974,0.0108233394035178,0.236632378327436,17,245,0.0693877551020408,0.0135576567265118,0.195389758705611
Northeastern,2020-04-14,296,5582,1253904,Northeastern,104,1810,0.0574585635359116,0.0118487083996405,0.206213098109128,28,304,0.0921052631578947,0.0223302581377841,0.242442802638799
