herc_region,Date,Cases,Tests,Population,County,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
Fox Valley Area,2020-03-15,1,NA,549682,Fox Valley Area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fox Valley Area,2020-03-16,4,NA,549682,Fox Valley Area,NA,NA,NA,NA,NA,3,NA,NA,0.00545770099803159,NA
Fox Valley Area,2020-03-17,4,NA,549682,Fox Valley Area,NA,NA,NA,NA,NA,0,NA,NA,0,NA
Fox Valley Area,2020-03-18,4,NA,549682,Fox Valley Area,NA,NA,NA,NA,NA,0,NA,NA,0,NA
Fox Valley Area,2020-03-19,7,NA,549682,Fox Valley Area,NA,NA,NA,NA,NA,3,NA,NA,0.00545770099803159,NA
Fox Valley Area,2020-03-20,8,NA,549682,Fox Valley Area,NA,NA,NA,NA,NA,1,NA,NA,0.00181923366601053,NA
Fox Valley Area,2020-03-21,8,NA,549682,Fox Valley Area,NA,NA,NA,NA,NA,0,NA,NA,0,NA
Fox Valley Area,2020-03-22,8,NA,549682,Fox Valley Area,7,NA,NA,0.00181923366601053,NA,0,NA,NA,0,NA
Fox Valley Area,2020-03-23,8,NA,549682,Fox Valley Area,4,NA,NA,0.00103956209486316,NA,0,NA,NA,0,NA
Fox Valley Area,2020-03-24,8,NA,549682,Fox Valley Area,4,NA,NA,0.00103956209486316,NA,0,NA,NA,0,NA
Fox Valley Area,2020-03-25,10,NA,549682,Fox Valley Area,6,NA,NA,0.00155934314229474,NA,2,NA,NA,0.00363846733202106,NA
Fox Valley Area,2020-03-26,11,NA,549682,Fox Valley Area,4,NA,NA,0.00103956209486316,NA,1,NA,NA,0.00181923366601053,NA
Fox Valley Area,2020-03-27,12,NA,549682,Fox Valley Area,4,NA,NA,0.00103956209486316,NA,1,NA,NA,0.00181923366601053,NA
Fox Valley Area,2020-03-28,13,NA,549682,Fox Valley Area,5,NA,NA,0.00129945261857895,NA,1,NA,NA,0.00181923366601053,NA
Fox Valley Area,2020-03-29,16,NA,549682,Fox Valley Area,8,NA,NA,0.00207912418972632,NA,3,NA,NA,0.00545770099803159,NA
Fox Valley Area,2020-03-30,21,584,549682,Fox Valley Area,13,NA,NA,0.00337857680830527,NA,5,NA,NA,0.00909616833005265,NA
Fox Valley Area,2020-03-31,25,674,549682,Fox Valley Area,17,NA,NA,0.00441813890316843,NA,4,90,0.0444444444444444,0.00727693466404212,0.163731029940948
Fox Valley Area,2020-04-01,30,757,549682,Fox Valley Area,20,NA,NA,0.0051978104743158,NA,5,83,0.0602409638554217,0.00909616833005265,0.150996394278874
Fox Valley Area,2020-04-02,37,866,549682,Fox Valley Area,26,NA,NA,0.00675715361661054,NA,7,109,0.0642201834862385,0.0127346356620737,0.198296469595148
Fox Valley Area,2020-04-03,43,987,549682,Fox Valley Area,31,NA,NA,0.00805660623518949,NA,6,121,0.0495867768595041,0.0109154019960632,0.220127273587274
Fox Valley Area,2020-04-04,45,1046,549682,Fox Valley Area,32,NA,NA,0.00831649675890528,NA,2,59,0.0338983050847458,0.00363846733202106,0.107334786294621
Fox Valley Area,2020-04-05,49,1109,549682,Fox Valley Area,33,NA,NA,0.00857638728262107,NA,4,63,0.0634920634920635,0.00727693466404212,0.114611720958663
Fox Valley Area,2020-04-06,56,1342,549682,Fox Valley Area,35,758,0.0461741424802111,0.00909616833005265,0.196997016976569,7,233,0.0300429184549356,0.0127346356620737,0.423881444180453
Fox Valley Area,2020-04-07,60,1510,549682,Fox Valley Area,35,836,0.041866028708134,0.00909616833005265,0.2172684778264,4,168,0.0238095238095238,0.00727693466404212,0.305631255889769
Fox Valley Area,2020-04-08,61,1603,549682,Fox Valley Area,31,846,0.0366430260047281,0.00805660623518949,0.219867383063558,1,93,0.010752688172043,0.00181923366601053,0.169188730938979
Fox Valley Area,2020-04-09,65,1657,549682,Fox Valley Area,28,791,0.0353982300884956,0.00727693466404212,0.20557340425919,4,54,0.0740740740740741,0.00727693466404212,0.0982386179645686
Fox Valley Area,2020-04-10,69,1812,549682,Fox Valley Area,26,825,0.0315151515151515,0.00675715361661054,0.214409682065527,4,155,0.0258064516129032,0.00727693466404212,0.281981218231632
Fox Valley Area,2020-04-11,69,1886,549682,Fox Valley Area,24,840,0.0285714285714286,0.00623737256917896,0.218308039921264,0,74,0,0,0.134623291284779
Fox Valley Area,2020-04-12,72,1999,549682,Fox Valley Area,23,890,0.0258426966292135,0.00597748204546317,0.231302566107053,3,113,0.0265486725663717,0.00545770099803159,0.20557340425919
Fox Valley Area,2020-04-13,74,2094,549682,Fox Valley Area,18,752,0.023936170212766,0.00467802942688422,0.195437673834274,2,95,0.0210526315789474,0.00363846733202106,0.172827198271
Fox Valley Area,2020-04-14,77,2222,549682,Fox Valley Area,17,712,0.023876404494382,0.00441813890316843,0.185042052885642,3,128,0.0234375,0.00545770099803159,0.232861909249348
Fox Valley Area,2020-04-15,81,2311,549682,Fox Valley Area,20,708,0.0282485875706215,0.0051978104743158,0.184002490790779,4,89,0.0449438202247191,0.00727693466404212,0.161911796274937
Fox Valley Area,2020-04-16,82,2403,549682,Fox Valley Area,17,746,0.0227882037533512,0.00441813890316843,0.193878330691979,1,92,0.0108695652173913,0.00181923366601053,0.167369497272969
Fox Valley Area,2020-04-17,84,2517,549682,Fox Valley Area,15,705,0.0212765957446809,0.00389835785573685,0.183222819219632,2,114,0.0175438596491228,0.00363846733202106,0.2073926379252
